"Transaction","Item","period_day","weekday_weekend","Price","TotalNumber","Gender","Payment","Nationality","Time","Date","Age"
34,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:25","10/30/2016",22
34,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","11:25","10/30/2016",22
35,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","11:27","10/30/2016",20
35,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","11:27","10/30/2016",20
36,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","11:33","10/30/2016",30
36,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:33","10/30/2016",30
37,"Coffee","morning","weekend",19.73,3,"female","Online Wallet","American","11:37","10/30/2016",21
37,"Bread","morning","weekend",1.61,4,"female","Online Wallet","American","11:37","10/30/2016",21
38,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:42","10/30/2016",18
38,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","11:42","10/30/2016",18
39,"Scandinavian","morning","weekend",39.34,2,"female","Online Wallet","American","11:44","10/30/2016",21
40,"Juice","morning","weekend",28.3,2,"Male","Credit card","Vietnamese","11:55","10/30/2016",26
40,"Tartine","morning","weekend",20.11,2,"Male","Credit card","Vietnamese","11:55","10/30/2016",26
40,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:55","10/30/2016",26
40,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","11:55","10/30/2016",26
41,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","11:57","10/30/2016",20
42,"Bread","morning","weekend",1.61,4,"female","Online Wallet","American","11:57","10/30/2016",29
42,"Tea","morning","weekend",26.05,2,"female","Online Wallet","American","11:57","10/30/2016",29
43,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","12:00","10/30/2016",19
43,"Fudge","afternoon","weekend",32.91,2,"Male","Credit card","Vietnamese","12:00","10/30/2016",19
44,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:05","10/30/2016",24
44,"Medialuna","afternoon","weekend",43.23,1,"Male","Credit card","Vietnamese","12:05","10/30/2016",24
45,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","American","12:08","10/30/2016",16
45,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Cash","American","12:08","10/30/2016",16
45,"Medialuna","afternoon","weekend",43.23,1,"Male","Cash","American","12:08","10/30/2016",16
46,"Coffee","afternoon","weekend",19.73,3,"female","Cash","American","12:09","10/30/2016",20
47,"Ella's Kitchen Pouches","afternoon","weekend",8.21,4,"Male","Credit card","Vietnamese","12:15","10/30/2016",16
47,"Juice","afternoon","weekend",28.3,2,"Male","Credit card","Vietnamese","12:15","10/30/2016",16
47,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:15","10/30/2016",16
47,"Muffin","afternoon","weekend",7.18,4,"Male","Credit card","Vietnamese","12:15","10/30/2016",16
47,"Jam","afternoon","weekend",45.27,1,"Male","Credit card","Vietnamese","12:15","10/30/2016",16
48,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:17","10/30/2016",28
49,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Korean","12:23","10/30/2016",29
49,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","Korean","12:23","10/30/2016",29
49,"Medialuna","afternoon","weekend",43.23,1,"Male","Cash","Korean","12:23","10/30/2016",29
50,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:25","10/30/2016",23
50,"Victorian Sponge","afternoon","weekend",7.85,4,"Male","Credit card","Vietnamese","12:25","10/30/2016",23
51,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:26","10/30/2016",24
52,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","12:28","10/30/2016",27
54,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","12:33","10/30/2016",18
55,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","12:38","10/30/2016",17
55,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:38","10/30/2016",17
55,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","12:38","10/30/2016",17
55,"Hearty & Seasonal","afternoon","weekend",13.42,3,"Male","Credit card","Vietnamese","12:38","10/30/2016",17
56,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","12:39","10/30/2016",16
56,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","12:39","10/30/2016",16
57,"Scandinavian","afternoon","weekend",39.34,2,"Male","Credit card","Vietnamese","12:45","10/30/2016",30
58,"Victorian Sponge","afternoon","weekend",7.85,4,"Male","Credit card","Vietnamese","12:59","10/30/2016",22
58,"Hot chocolate","afternoon","weekend",20.12,2,"Male","Credit card","Vietnamese","12:59","10/30/2016",22
58,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","12:59","10/30/2016",22
58,"Soup","afternoon","weekend",42.55,1,"Male","Credit card","Vietnamese","12:59","10/30/2016",22
59,"Tea","afternoon","weekend",26.05,2,"female","Cash","American","13:02","10/30/2016",25
60,"Cookies","afternoon","weekend",5.51,4,"Male","Cash","American","13:14","10/30/2016",30
60,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","American","13:14","10/30/2016",30
60,"Juice","afternoon","weekend",28.3,2,"Male","Cash","American","13:14","10/30/2016",30
60,"Coffee","afternoon","weekend",19.73,3,"Male","Cash","American","13:14","10/30/2016",30
61,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:15","10/30/2016",17
62,"Pick and Mix Bowls","afternoon","weekend",38.38,2,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
62,"Hearty & Seasonal","afternoon","weekend",13.42,3,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
62,"Hearty & Seasonal","afternoon","weekend",13.42,3,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
62,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
62,"Smoothies","afternoon","weekend",24.22,2,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
62,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:24","10/30/2016",20
63,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:33","10/30/2016",27
64,"Cake","afternoon","weekend",20.24,2,"Male","Online Wallet","Korean","13:34","10/30/2016",27
65,"Tartine","afternoon","weekend",20.11,2,"Male","Credit card","Vietnamese","13:37","10/30/2016",26
65,"Mighty Protein","afternoon","weekend",13.02,3,"Male","Credit card","Vietnamese","13:37","10/30/2016",26
65,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","13:37","10/30/2016",26
65,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","13:37","10/30/2016",26
66,"Hearty & Seasonal","afternoon","weekend",13.42,3,"Male","Credit card","Vietnamese","13:40","10/30/2016",28
66,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","13:40","10/30/2016",28
66,"Mineral water","afternoon","weekend",28.31,2,"Male","Credit card","Vietnamese","13:40","10/30/2016",28
67,"Hearty & Seasonal","afternoon","weekend",13.42,3,"Male","Online Wallet","Germany","13:46","10/30/2016",25
67,"Mineral water","afternoon","weekend",28.31,2,"Male","Online Wallet","Germany","13:46","10/30/2016",25
67,"Muffin","afternoon","weekend",7.18,4,"Male","Online Wallet","Germany","13:46","10/30/2016",25
68,"Frittata","afternoon","weekend",33.08,2,"female","Online Wallet","Korean","13:49","10/30/2016",21
68,"Coffee","afternoon","weekend",19.73,3,"female","Online Wallet","Korean","13:49","10/30/2016",21
68,"Tea","afternoon","weekend",26.05,2,"female","Online Wallet","Korean","13:49","10/30/2016",21
68,"Scandinavian","afternoon","weekend",39.34,2,"female","Online Wallet","Korean","13:49","10/30/2016",21
68,"Chicken sand","afternoon","weekend",48.78,1,"female","Online Wallet","Korean","13:49","10/30/2016",21
69,"Bread","afternoon","weekend",1.61,4,"Male","Online Wallet","American","13:51","10/30/2016",28
69,"Tea","afternoon","weekend",26.05,2,"Male","Online Wallet","American","13:51","10/30/2016",28
69,"Victorian Sponge","afternoon","weekend",7.85,4,"Male","Online Wallet","American","13:51","10/30/2016",28
70,"Fudge","afternoon","weekend",32.91,2,"Male","Credit card","Vietnamese","13:54","10/30/2016",16
71,"Muffin","afternoon","weekend",7.18,4,"female","Online Wallet","Germany","13:56","10/30/2016",27
72,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:21","10/30/2016",25
72,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","14:21","10/30/2016",25
73,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","14:22","10/30/2016",19
74,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:24","10/30/2016",16
74,"Bread","afternoon","weekend",1.61,4,"Male","Credit card","Vietnamese","14:24","10/30/2016",16
75,"Jam","afternoon","weekend",45.27,1,"Male","Credit card","Vietnamese","14:32","10/30/2016",30
75,"Frittata","afternoon","weekend",33.08,2,"Male","Credit card","Vietnamese","14:32","10/30/2016",30
76,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:32","10/30/2016",17
77,"Scandinavian","afternoon","weekend",39.34,2,"Male","Online Wallet","Korean","14:35","10/30/2016",26
78,"Fudge","afternoon","weekend",32.91,2,"Male","Cash","Korean","14:42","10/30/2016",17
79,"Fudge","afternoon","weekend",32.91,2,"Male","Credit card","Vietnamese","14:45","10/30/2016",18
79,"Tea","afternoon","weekend",26.05,2,"Male","Credit card","Vietnamese","14:45","10/30/2016",18
79,"Coffee","afternoon","weekend",19.73,3,"Male","Credit card","Vietnamese","14:45","10/30/2016",18
79,"Muffin","afternoon","weekend",7.18,4,"Male","Credit card","Vietnamese","14:45","10/30/2016",18
80,"Frittata","afternoon","weekend",33.08,2,"Male","Online Wallet","Germany","14:48","10/30/2016",28
80,"Bread","afternoon","weekend",1.61,4,"Male","Online Wallet","Germany","14:48","10/30/2016",28
80,"Coffee","afternoon","weekend",19.73,3,"Male","Online Wallet","Germany","14:48","10/30/2016",28
81,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","08:28","10/31/2016",25
81,"Cake","morning","weekday",20.24,2,"Male","Credit card","Vietnamese","08:28","10/31/2016",25
82,"Tartine","morning","weekday",20.11,2,"Male","Cash","Korean","08:47","10/31/2016",27
82,"Bread","morning","weekday",1.61,4,"Male","Cash","Korean","08:47","10/31/2016",27
83,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Korean","08:57","10/31/2016",24
83,"Bread","morning","weekday",1.61,4,"Male","Online Wallet","Korean","08:57","10/31/2016",24
84,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:04","10/31/2016",25
85,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Germany","09:10","10/31/2016",19
85,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Germany","09:10","10/31/2016",19
85,"Pastry","morning","weekday",14.94,3,"Male","Online Wallet","Germany","09:10","10/31/2016",19
85,"Medialuna","morning","weekday",43.23,1,"Male","Online Wallet","Germany","09:10","10/31/2016",19
86,"Juice","morning","weekday",28.3,2,"female","Online Wallet","American","09:11","10/31/2016",17
87,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:12","10/31/2016",20
88,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:16","10/31/2016",18
88,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:16","10/31/2016",18
88,"Jam","morning","weekday",45.27,1,"Male","Credit card","Vietnamese","09:16","10/31/2016",18
89,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:19","10/31/2016",27
90,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:20","10/31/2016",21
90,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:20","10/31/2016",21
91,"Tea","morning","weekday",26.05,2,"female","Online Wallet","American","09:22","10/31/2016",30
92,"Coffee","morning","weekday",19.73,3,"female","Online Wallet","American","09:27","10/31/2016",25
93,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:29","10/31/2016",23
93,"Coke","morning","weekday",45.97,1,"Male","Credit card","Vietnamese","09:29","10/31/2016",23
94,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:39","10/31/2016",26
94,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:39","10/31/2016",26
95,"Tea","morning","weekday",26.05,2,"female","Online Wallet","Germany","09:43","10/31/2016",16
95,"Pastry","morning","weekday",14.94,3,"female","Online Wallet","Germany","09:43","10/31/2016",16
95,"Farm House","morning","weekday",40.82,1,"female","Online Wallet","Germany","09:43","10/31/2016",16
96,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:46","10/31/2016",28
96,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:46","10/31/2016",28
96,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:46","10/31/2016",28
96,"Juice","morning","weekday",28.3,2,"Male","Credit card","Vietnamese","09:46","10/31/2016",28
97,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:51","10/31/2016",28
97,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:51","10/31/2016",28
97,"Juice","morning","weekday",28.3,2,"Male","Credit card","Vietnamese","09:51","10/31/2016",28
98,"Farm House","morning","weekday",40.82,1,"Male","Credit card","Vietnamese","09:52","10/31/2016",19
99,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:56","10/31/2016",18
99,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","09:56","10/31/2016",18
99,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","09:56","10/31/2016",18
99,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","09:56","10/31/2016",18
100,"Bread","morning","weekday",1.61,4,"female","Online Wallet","Germany","09:58","10/31/2016",17
101,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","10:04","10/31/2016",27
101,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","10:04","10/31/2016",27
102,"Farm House","morning","weekday",40.82,1,"Male","Credit card","Vietnamese","10:04","10/31/2016",16
103,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","10:07","10/31/2016",26
104,"Coffee","morning","weekday",19.73,3,"female","Online Wallet","Korean","10:12","10/31/2016",22
104,"Coffee","morning","weekday",19.73,3,"female","Online Wallet","Korean","10:12","10/31/2016",22
104,"Medialuna","morning","weekday",43.23,1,"female","Online Wallet","Korean","10:12","10/31/2016",22
104,"Muffin","morning","weekday",7.18,4,"female","Online Wallet","Korean","10:12","10/31/2016",22
104,"Coffee","morning","weekday",19.73,3,"female","Online Wallet","Korean","10:12","10/31/2016",22
105,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Korean","10:21","10/31/2016",26
105,"Tea","morning","weekday",26.05,2,"Male","Online Wallet","Korean","10:21","10/31/2016",26
105,"Cake","morning","weekday",20.24,2,"Male","Online Wallet","Korean","10:21","10/31/2016",26
106,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Germany","10:24","10/31/2016",21
106,"Coffee","morning","weekday",19.73,3,"Male","Online Wallet","Germany","10:24","10/31/2016",21
106,"Pastry","morning","weekday",14.94,3,"Male","Online Wallet","Germany","10:24","10/31/2016",21
106,"Pastry","morning","weekday",14.94,3,"Male","Online Wallet","Germany","10:24","10/31/2016",21
107,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","10:27","10/31/2016",17
107,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","10:27","10/31/2016",17
108,"Farm House","morning","weekday",40.82,1,"Male","Cash","American","10:31","10/31/2016",27
108,"Muffin","morning","weekday",7.18,4,"Male","Cash","American","10:31","10/31/2016",27
109,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","10:35","10/31/2016",16
109,"Muffin","morning","weekday",7.18,4,"Male","Credit card","Vietnamese","10:35","10/31/2016",16
109,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","10:35","10/31/2016",16
110,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","10:36","10/31/2016",25
111,"Coffee","morning","weekday",19.73,3,"Male","Cash","American","10:38","10/31/2016",22
112,"Coffee","morning","weekday",19.73,3,"Male","Cash","Germany","10:59","10/31/2016",29
113,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:02","10/31/2016",16
113,"Cake","morning","weekday",20.24,2,"Male","Credit card","Vietnamese","11:02","10/31/2016",16
114,"Farm House","morning","weekday",40.82,1,"Male","Online Wallet","American","11:05","10/31/2016",29
115,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","11:08","10/31/2016",19
116,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:11","10/31/2016",22
117,"Cookies","morning","weekday",5.51,4,"Male","Credit card","Vietnamese","11:13","10/31/2016",25
117,"Cake","morning","weekday",20.24,2,"Male","Credit card","Vietnamese","11:13","10/31/2016",25
117,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:13","10/31/2016",25
117,"My-5 Fruit Shoot","morning","weekday",13.78,3,"Male","Credit card","Vietnamese","11:13","10/31/2016",25
118,"Cookies","morning","weekday",5.51,4,"Male","Credit card","Vietnamese","11:18","10/31/2016",27
118,"Cookies","morning","weekday",5.51,4,"Male","Credit card","Vietnamese","11:18","10/31/2016",27
118,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","11:18","10/31/2016",27
118,"Pastry","morning","weekday",14.94,3,"Male","Credit card","Vietnamese","11:18","10/31/2016",27
119,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:25","10/31/2016",18
119,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:25","10/31/2016",18
119,"Muffin","morning","weekday",7.18,4,"Male","Credit card","Vietnamese","11:25","10/31/2016",18
120,"Farm House","morning","weekday",40.82,1,"female","Cash","Korean","11:29","10/31/2016",21
121,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:30","10/31/2016",30
121,"Bread","morning","weekday",1.61,4,"Male","Credit card","Vietnamese","11:30","10/31/2016",30
122,"Cookies","morning","weekday",5.51,4,"Male","Online Wallet","American","11:37","10/31/2016",21
123,"Jam","morning","weekday",45.27,1,"Male","Credit card","Vietnamese","11:42","10/31/2016",16
123,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:42","10/31/2016",16
123,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:42","10/31/2016",16
123,"Juice","morning","weekday",28.3,2,"Male","Credit card","Vietnamese","11:42","10/31/2016",16
124,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:43","10/31/2016",23
124,"Soup","morning","weekday",42.55,1,"Male","Credit card","Vietnamese","11:43","10/31/2016",23
125,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","11:47","10/31/2016",29
126,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:52","10/31/2016",16
126,"Jam","morning","weekday",45.27,1,"Male","Credit card","Vietnamese","11:52","10/31/2016",16
127,"Farm House","morning","weekday",40.82,1,"Male","Online Wallet","Korean","11:53","10/31/2016",30
128,"Tartine","morning","weekday",20.11,2,"Male","Credit card","Vietnamese","11:55","10/31/2016",28
128,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:55","10/31/2016",28
128,"Tea","morning","weekday",26.05,2,"Male","Credit card","Vietnamese","11:55","10/31/2016",28
129,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:59","10/31/2016",23
129,"Coffee","morning","weekday",19.73,3,"Male","Credit card","Vietnamese","11:59","10/31/2016",23
129,"Cake","morning","weekday",20.24,2,"Male","Credit card","Vietnamese","11:59","10/31/2016",23
130,"Coffee","afternoon","weekday",19.73,3,"Male","Credit card","Vietnamese","12:03","10/31/2016",16
130,"Coffee","afternoon","weekday",19.73,3,"Male","Credit card","Vietnamese","12:03","10/31/2016",16
130,"Muffin","afternoon","weekday",7.18,4,"Male","Credit card","Vietnamese","12:03","10/31/2016",16
131,"Bread","afternoon","weekday",1.61,4,"Male","Online Wallet","Germany","12:08","10/31/2016",20
131,"Coffee","afternoon","weekday",19.73,3,"Male","Online Wallet","Germany","12:08","10/31/2016",20
132,"Tea","afternoon","weekday",26.05,2,"female","Online Wallet","Korean","12:14","10/31/2016",29
