"Transaction","total","OneItems","TwoItems","ThreeItems","FourItems","CashPay","CreditPay","OnlineWalletPay"
70,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
72,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
73,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
75,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
76,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
77,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
78,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
79,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
80,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
81,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
82,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
83,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
84,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
85,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
86,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
87,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
88,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
89,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
90,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
91,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
92,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
93,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
94,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
95,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
96,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
97,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
98,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
99,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
100,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
101,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
102,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
103,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
104,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
105,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
106,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
107,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
108,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
109,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
110,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
111,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
112,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
114,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
115,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
116,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
117,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
118,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
119,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
120,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
121,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
122,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
123,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
124,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
125,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
126,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
127,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
128,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
129,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
130,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
131,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
132,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
133,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
134,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
135,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
136,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
137,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
138,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
139,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
140,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
141,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
142,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
143,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
144,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
145,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
146,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
147,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
148,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
149,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
150,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
151,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
152,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
153,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
154,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
155,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
156,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
157,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
158,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
159,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
160,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
161,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
162,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
163,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
164,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
165,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
166,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
167,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
168,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
169,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
170,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
171,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
172,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
173,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
174,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
175,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
176,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
178,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
179,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
180,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
181,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
182,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
183,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
184,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
185,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
186,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
187,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
188,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
189,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
190,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
191,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
192,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
193,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
194,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
195,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
196,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
197,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
198,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
199,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
200,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
201,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
202,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
203,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
204,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
205,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
206,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
207,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
208,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
209,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
210,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
211,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
212,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
213,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
214,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
215,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
216,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
217,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
218,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
219,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
220,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
221,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
222,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
223,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
224,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
225,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
226,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
227,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
228,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
229,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
230,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
231,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
232,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
233,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
234,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
235,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
236,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
237,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
238,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
239,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
240,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
241,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
242,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
243,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
244,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
245,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
246,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
247,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
248,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
249,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
250,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
251,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
252,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
253,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
254,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
255,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
256,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
257,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
258,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
259,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
260,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
261,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
262,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
263,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
264,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
265,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
266,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
267,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
268,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
269,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
270,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
271,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
272,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
274,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
275,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
276,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
277,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
278,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
279,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
280,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
281,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
282,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
283,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
284,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
285,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
286,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
287,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
288,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
289,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
290,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
291,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
292,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
293,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
294,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
295,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
296,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
297,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
298,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
299,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
300,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
301,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
302,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
303,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
304,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
305,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
306,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
307,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
308,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
309,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
310,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
311,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
312,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
313,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
314,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
316,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
317,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
318,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
319,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
320,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
321,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
322,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
323,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
324,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
325,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
326,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
327,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
328,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
329,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
330,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
331,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
332,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
333,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
334,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
335,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
336,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
337,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
338,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
339,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
340,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
341,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
342,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
343,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
344,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
345,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
346,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
347,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
348,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
349,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
350,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
351,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
352,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
353,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
354,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
355,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
356,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
357,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
358,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
359,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
360,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
