"Transaction","Item","period_day","weekday_weekend","Price","TotalNumber","Gender","Payment","Nationality","Age"
77,2,0,1,39.34,2,1,2,4,26
78,15,0,1,32.91,2,1,3,4,17
79,15,0,1,32.91,2,1,1,1,18
79,10,0,1,26.05,2,1,1,1,18
79,7,0,1,19.73,3,1,1,1,18
79,6,0,1,7.18,4,1,1,1,18
80,19,0,1,33.08,2,1,2,3,28
80,1,0,1,1.61,4,1,2,3,28
80,7,0,1,19.73,3,1,2,3,28
81,7,1,2,19.73,3,1,1,1,25
81,24,1,2,20.24,2,1,1,1,25
82,11,1,2,20.11,2,1,3,4,27
82,1,1,2,1.61,4,1,3,4,27
83,7,1,2,19.73,3,1,2,4,24
83,1,1,2,1.61,4,1,2,4,24
84,1,1,2,1.61,4,1,1,1,25
85,7,1,2,19.73,3,1,2,3,19
85,7,1,2,19.73,3,1,2,3,19
85,8,1,2,14.94,3,1,2,3,19
85,9,1,2,43.23,1,1,2,3,19
86,16,1,2,28.3,2,0,2,2,17
87,1,1,2,1.61,4,1,1,1,20
88,7,1,2,19.73,3,1,1,1,18
88,7,1,2,19.73,3,1,1,1,18
88,4,1,2,45.27,1,1,1,1,18
89,1,1,2,1.61,4,1,1,1,27
90,1,1,2,1.61,4,1,1,1,21
90,7,1,2,19.73,3,1,1,1,21
91,10,1,2,26.05,2,0,2,2,30
92,7,1,2,19.73,3,0,2,2,25
93,1,1,2,1.61,4,1,1,1,23
93,27,1,2,45.97,1,1,1,1,23
94,7,1,2,19.73,3,1,1,1,26
94,7,1,2,19.73,3,1,1,1,26
95,10,1,2,26.05,2,0,2,3,16
95,8,1,2,14.94,3,0,2,3,16
95,14,1,2,40.82,1,0,2,3,16
96,8,1,2,14.94,3,1,1,1,28
96,8,1,2,14.94,3,1,1,1,28
96,7,1,2,19.73,3,1,1,1,28
96,16,1,2,28.3,2,1,1,1,28
97,7,1,2,19.73,3,1,1,1,28
97,8,1,2,14.94,3,1,1,1,28
97,16,1,2,28.3,2,1,1,1,28
98,14,1,2,40.82,1,1,1,1,19
99,8,1,2,14.94,3,1,1,1,18
99,8,1,2,14.94,3,1,1,1,18
99,7,1,2,19.73,3,1,1,1,18
99,1,1,2,1.61,4,1,1,1,18
100,1,1,2,1.61,4,0,2,3,17
101,7,1,2,19.73,3,1,1,1,27
101,8,1,2,14.94,3,1,1,1,27
102,14,1,2,40.82,1,1,1,1,16
103,1,1,2,1.61,4,1,1,1,26
104,7,1,2,19.73,3,0,2,4,22
104,7,1,2,19.73,3,0,2,4,22
104,9,1,2,43.23,1,0,2,4,22
104,6,1,2,7.18,4,0,2,4,22
104,7,1,2,19.73,3,0,2,4,22
105,7,1,2,19.73,3,1,2,4,26
105,10,1,2,26.05,2,1,2,4,26
105,24,1,2,20.24,2,1,2,4,26
106,7,1,2,19.73,3,1,2,3,21
106,7,1,2,19.73,3,1,2,3,21
106,8,1,2,14.94,3,1,2,3,21
106,8,1,2,14.94,3,1,2,3,21
107,7,1,2,19.73,3,1,1,1,17
107,10,1,2,26.05,2,1,1,1,17
108,14,1,2,40.82,1,1,3,2,27
108,6,1,2,7.18,4,1,3,2,27
109,1,1,2,1.61,4,1,1,1,16
109,6,1,2,7.18,4,1,1,1,16
109,8,1,2,14.94,3,1,1,1,16
110,8,1,2,14.94,3,1,1,1,25
111,7,1,2,19.73,3,1,3,2,22
112,7,1,2,19.73,3,1,3,3,29
113,7,1,2,19.73,3,1,1,1,16
113,24,1,2,20.24,2,1,1,1,16
114,14,1,2,40.82,1,1,2,2,29
115,1,1,2,1.61,4,1,1,1,19
116,7,1,2,19.73,3,1,1,1,22
117,5,1,2,5.51,4,1,1,1,25
117,24,1,2,20.24,2,1,1,1,25
117,7,1,2,19.73,3,1,1,1,25
117,28,1,2,13.78,3,1,1,1,25
118,5,1,2,5.51,4,1,1,1,27
118,5,1,2,5.51,4,1,1,1,27
118,10,1,2,26.05,2,1,1,1,27
118,8,1,2,14.94,3,1,1,1,27
119,7,1,2,19.73,3,1,1,1,18
119,7,1,2,19.73,3,1,1,1,18
119,6,1,2,7.18,4,1,1,1,18
120,14,1,2,40.82,1,0,3,4,21
121,7,1,2,19.73,3,1,1,1,30
121,1,1,2,1.61,4,1,1,1,30
122,5,1,2,5.51,4,1,2,2,21
123,4,1,2,45.27,1,1,1,1,16
123,7,1,2,19.73,3,1,1,1,16
123,7,1,2,19.73,3,1,1,1,16
123,16,1,2,28.3,2,1,1,1,16
124,7,1,2,19.73,3,1,1,1,23
124,21,1,2,42.55,1,1,1,1,23
125,10,1,2,26.05,2,1,1,1,29
126,7,1,2,19.73,3,1,1,1,16
126,4,1,2,45.27,1,1,1,1,16
127,14,1,2,40.82,1,1,2,4,30
128,11,1,2,20.11,2,1,1,1,28
128,7,1,2,19.73,3,1,1,1,28
128,10,1,2,26.05,2,1,1,1,28
129,7,1,2,19.73,3,1,1,1,23
129,7,1,2,19.73,3,1,1,1,23
129,24,1,2,20.24,2,1,1,1,23
130,7,0,2,19.73,3,1,1,1,16
130,7,0,2,19.73,3,1,1,1,16
130,6,0,2,7.18,4,1,1,1,16
131,1,0,2,1.61,4,1,2,3,20
131,7,0,2,19.73,3,1,2,3,20
132,10,0,2,26.05,2,0,2,4,29
132,16,0,2,28.3,2,0,2,4,29
132,22,0,2,38.38,2,0,2,4,29
132,5,0,2,5.51,4,0,2,4,29
133,20,0,2,13.42,3,1,1,1,20
133,21,0,2,42.55,1,1,1,1,20
134,20,0,2,13.42,3,1,1,1,25
134,10,0,2,26.05,2,1,1,1,25
134,14,0,2,40.82,1,1,1,1,25
135,1,0,2,1.61,4,1,1,1,19
136,10,0,2,26.05,2,1,2,2,19
136,21,0,2,42.55,1,1,2,2,19
137,14,0,2,40.82,1,1,2,4,29
138,21,0,2,42.55,1,1,1,1,21
138,20,0,2,13.42,3,1,1,1,21
138,7,0,2,19.73,3,1,1,1,21
139,1,0,2,1.61,4,1,3,4,30
139,6,0,2,7.18,4,1,3,4,30
139,20,0,2,13.42,3,1,3,4,30
140,7,0,2,19.73,3,1,2,4,18
140,7,0,2,19.73,3,1,2,4,18
140,5,0,2,5.51,4,1,2,4,18
141,1,0,2,1.61,4,1,1,1,22
142,10,0,2,26.05,2,1,2,4,24
142,6,0,2,7.18,4,1,2,4,24
143,10,0,2,26.05,2,1,1,1,24
144,21,0,2,42.55,1,1,1,1,25
144,20,0,2,13.42,3,1,1,1,25
145,7,0,2,19.73,3,1,1,1,24
145,10,0,2,26.05,2,1,1,1,24
145,29,0,2,35.36,2,1,1,1,24
146,30,0,2,10.13,3,0,3,3,30
147,11,0,2,20.11,2,1,1,1,29
147,7,0,2,19.73,3,1,1,1,29
148,15,0,2,32.91,2,0,2,3,26
148,7,0,2,19.73,3,0,2,3,26
148,7,0,2,19.73,3,0,2,3,26
149,7,0,2,19.73,3,1,1,1,21
150,1,0,2,1.61,4,1,3,4,20
151,27,0,2,45.97,1,1,1,1,29
151,21,0,2,42.55,1,1,1,1,29
152,6,0,2,7.18,4,1,1,1,18
153,10,0,2,26.05,2,1,3,4,26
153,7,0,2,19.73,3,1,3,4,26
153,5,0,2,5.51,4,1,3,4,26
153,6,0,2,7.18,4,1,3,4,26
154,25,0,2,13.02,3,1,1,1,20
154,20,0,2,13.42,3,1,1,1,20
154,7,0,2,19.73,3,1,1,1,20
154,27,0,2,45.97,1,1,1,1,20
155,10,0,2,26.05,2,1,1,1,22
155,6,0,2,7.18,4,1,1,1,22
155,30,0,2,10.13,3,1,1,1,22
156,7,0,2,19.73,3,1,1,1,28
156,6,0,2,7.18,4,1,1,1,28
157,7,0,2,19.73,3,1,1,1,17
157,1,0,2,1.61,4,1,1,1,17
158,7,0,2,19.73,3,1,1,1,29
158,6,0,2,7.18,4,1,1,1,29
159,1,0,2,1.61,4,1,1,1,28
159,3,0,2,20.12,2,1,1,1,28
159,5,0,2,5.51,4,1,1,1,28
160,13,0,2,28.31,2,1,1,1,30
160,6,0,2,7.18,4,1,1,1,30
161,10,0,2,26.05,2,1,1,1,24
162,6,0,2,7.18,4,1,3,2,26
163,7,0,2,19.73,3,0,2,2,17
163,16,0,2,28.3,2,0,2,2,17
164,7,0,2,19.73,3,1,1,1,22
164,6,0,2,7.18,4,1,1,1,22
165,10,0,2,26.05,2,0,2,4,30
166,7,0,2,19.73,3,1,1,1,28
166,6,0,2,7.18,4,1,1,1,28
167,30,0,2,10.13,3,1,1,1,29
167,20,0,2,13.42,3,1,1,1,29
167,1,0,2,1.61,4,1,1,1,29
167,13,0,2,28.31,2,1,1,1,29
168,10,0,2,26.05,2,1,1,1,27
168,7,0,2,19.73,3,1,1,1,27
169,13,0,2,28.31,2,1,1,1,27
170,7,0,2,19.73,3,1,1,1,20
171,21,0,2,42.55,1,1,2,3,26
171,10,0,2,26.05,2,1,2,3,26
172,1,0,2,1.61,4,1,1,1,17
172,7,0,2,19.73,3,1,1,1,17
173,1,0,2,1.61,4,1,1,1,26
173,6,0,2,7.18,4,1,1,1,26
174,7,0,2,19.73,3,0,3,3,24
175,1,0,2,1.61,4,1,1,1,23
176,5,0,2,5.51,4,1,1,1,27
176,7,0,2,19.73,3,1,1,1,27
178,7,1,2,19.73,3,0,2,4,22
178,8,1,2,14.94,3,0,2,4,22
179,7,1,2,19.73,3,0,2,4,16
179,8,1,2,14.94,3,0,2,4,16
180,4,1,2,45.27,1,0,3,2,29
180,10,1,2,26.05,2,0,3,2,29
181,10,1,2,26.05,2,1,1,1,19
181,10,1,2,26.05,2,1,1,1,19
182,8,1,2,14.94,3,1,1,1,22
182,8,1,2,14.94,3,1,1,1,22
182,17,1,2,8.21,4,1,1,1,22
183,8,1,2,14.94,3,1,2,4,30
184,14,1,2,40.82,1,1,3,4,25
184,10,1,2,26.05,2,1,3,4,25
185,10,1,2,26.05,2,1,1,1,30
185,18,1,2,7.85,4,1,1,1,30
186,10,1,2,26.05,2,1,1,1,19
186,8,1,2,14.94,3,1,1,1,19
187,1,1,2,1.61,4,0,3,3,19
188,7,1,2,19.73,3,1,1,1,18
189,1,1,2,1.61,4,1,1,1,16
189,7,1,2,19.73,3,1,1,1,16
190,7,1,2,19.73,3,1,1,1,20
190,8,1,2,14.94,3,1,1,1,20
190,8,1,2,14.94,3,1,1,1,20
191,21,1,2,42.55,1,1,1,1,30
191,10,1,2,26.05,2,1,1,1,30
192,1,1,2,1.61,4,1,1,1,17
193,7,1,2,19.73,3,0,2,2,22
194,1,1,2,1.61,4,1,1,1,26
194,1,1,2,1.61,4,1,1,1,26
195,1,1,2,1.61,4,1,3,2,22
195,2,1,2,39.34,2,1,3,2,22
196,1,1,2,1.61,4,1,1,1,28
196,24,1,2,20.24,2,1,1,1,28
196,5,1,2,5.51,4,1,1,1,28
197,7,1,2,19.73,3,1,3,4,23
197,7,1,2,19.73,3,1,3,4,23
197,10,1,2,26.05,2,1,3,4,23
198,7,1,2,19.73,3,1,1,1,30
198,5,1,2,5.51,4,1,1,1,30
199,7,1,2,19.73,3,1,3,3,19
200,1,1,2,1.61,4,1,1,1,27
201,7,1,2,19.73,3,1,2,4,27
201,8,1,2,14.94,3,1,2,4,27
202,7,1,2,19.73,3,1,1,1,28
202,7,1,2,19.73,3,1,1,1,28
203,7,1,2,19.73,3,1,1,1,21
204,2,1,2,39.34,2,1,1,1,21
204,1,1,2,1.61,4,1,1,1,21
205,7,1,2,19.73,3,1,1,1,26
205,7,1,2,19.73,3,1,1,1,26
205,8,1,2,14.94,3,1,1,1,26
206,2,1,2,39.34,2,1,1,1,17
206,7,1,2,19.73,3,1,1,1,17
206,8,1,2,14.94,3,1,1,1,17
207,20,0,2,13.42,3,1,3,3,16
207,7,0,2,19.73,3,1,3,3,16
207,6,0,2,7.18,4,1,3,3,16
208,1,0,2,1.61,4,1,1,1,18
209,7,0,2,19.73,3,1,1,1,26
210,2,0,2,39.34,2,1,1,1,25
211,21,0,2,42.55,1,0,3,2,17
211,7,0,2,19.73,3,0,3,2,17
212,7,0,2,19.73,3,1,1,1,29
212,5,0,2,5.51,4,1,1,1,29
212,11,0,2,20.11,2,1,1,1,29
213,1,0,2,1.61,4,1,1,1,24
214,1,0,2,1.61,4,1,1,1,21
214,10,0,2,26.05,2,1,1,1,21
214,10,0,2,26.05,2,1,1,1,21
215,8,0,2,14.94,3,1,1,1,27
215,7,0,2,19.73,3,1,1,1,27
216,11,0,2,20.11,2,1,1,1,27
216,7,0,2,19.73,3,1,1,1,27
217,1,0,2,1.61,4,1,1,1,27
217,5,0,2,5.51,4,1,1,1,27
218,30,0,2,10.13,3,1,1,1,30
219,11,0,2,20.11,2,1,1,1,19
220,1,0,2,1.61,4,1,1,1,19
220,8,0,2,14.94,3,1,1,1,19
221,1,0,2,1.61,4,1,1,1,30
221,2,0,2,39.34,2,1,1,1,30
222,2,0,2,39.34,2,0,3,4,26
223,31,0,2,13.64,3,1,1,1,29
223,7,0,2,19.73,3,1,1,1,29
224,7,0,2,19.73,3,1,1,1,26
225,7,0,2,19.73,3,1,1,1,29
225,27,0,2,45.97,1,1,1,1,29
225,21,0,2,42.55,1,1,1,1,29
226,24,0,2,20.24,2,0,3,4,20
227,10,0,2,26.05,2,0,2,4,30
227,30,0,2,10.13,3,0,2,4,30
227,21,0,2,42.55,1,0,2,4,30
228,7,0,2,19.73,3,1,1,1,28
229,20,0,2,13.42,3,0,2,4,21
229,1,0,2,1.61,4,0,2,4,21
230,31,0,2,13.64,3,0,2,4,26
231,24,0,2,20.24,2,1,1,1,20
232,10,0,2,26.05,2,0,3,4,19
232,10,0,2,26.05,2,0,3,4,19
232,1,0,2,1.61,4,0,3,4,19
233,7,0,2,19.73,3,1,1,1,18
233,10,0,2,26.05,2,1,1,1,18
233,1,0,2,1.61,4,1,1,1,18
233,21,0,2,42.55,1,1,1,1,18
234,7,0,2,19.73,3,1,1,1,25
234,7,0,2,19.73,3,1,1,1,25
235,2,0,2,39.34,2,1,1,1,19
236,15,0,2,32.91,2,1,1,1,20
237,7,0,2,19.73,3,1,1,1,19
237,30,0,2,10.13,3,1,1,1,19
238,10,0,2,26.05,2,1,1,1,25
238,1,0,2,1.61,4,1,1,1,25
238,5,0,2,5.51,4,1,1,1,25
238,8,0,2,14.94,3,1,1,1,25
239,6,0,2,7.18,4,1,1,1,22
240,2,0,2,39.34,2,1,2,4,16
241,4,0,2,45.27,1,1,1,1,21
241,10,0,2,26.05,2,1,1,1,21
242,16,0,2,28.3,2,1,2,2,24
242,10,0,2,26.05,2,1,2,2,24
242,31,0,2,13.64,3,1,2,2,24
243,24,0,2,20.24,2,1,3,4,30
243,6,0,2,7.18,4,1,3,4,30
243,7,0,2,19.73,3,1,3,4,30
243,21,0,2,42.55,1,1,3,4,30
244,3,0,2,20.12,2,1,1,1,20
244,24,0,2,20.24,2,1,1,1,20
244,7,0,2,19.73,3,1,1,1,20
245,24,0,2,20.24,2,1,2,4,28
245,5,0,2,5.51,4,1,2,4,28
246,10,0,2,26.05,2,1,1,1,30
246,1,0,2,1.61,4,1,1,1,30
247,31,0,2,13.64,3,1,3,4,29
247,7,0,2,19.73,3,1,3,4,29
247,7,0,2,19.73,3,1,3,4,29
247,7,0,2,19.73,3,1,3,4,29
247,16,0,2,28.3,2,1,3,4,29
248,7,0,2,19.73,3,0,2,2,26
248,10,0,2,26.05,2,0,2,2,26
248,21,0,2,42.55,1,0,2,2,26
249,3,0,2,20.12,2,1,1,1,29
250,5,0,2,5.51,4,0,2,4,19
251,7,0,2,19.73,3,1,1,1,19
251,9,0,2,43.23,1,1,1,1,19
252,1,0,2,1.61,4,1,1,1,21
252,32,0,2,27.48,2,1,1,1,21
253,2,0,2,39.34,2,1,1,1,16
254,9,0,2,43.23,1,1,1,1,25
255,7,1,2,19.73,3,1,1,1,29
255,7,1,2,19.73,3,1,1,1,29
255,8,1,2,14.94,3,1,1,1,29
256,7,1,2,19.73,3,1,2,3,24
256,1,1,2,1.61,4,1,2,3,24
257,1,1,2,1.61,4,1,3,3,22
257,7,1,2,19.73,3,1,3,3,22
257,8,1,2,14.94,3,1,3,3,22
258,7,1,2,19.73,3,1,2,2,28
258,8,1,2,14.94,3,1,2,2,28
259,8,1,2,14.94,3,1,1,1,28
260,7,1,2,19.73,3,1,1,1,25
261,7,1,2,19.73,3,1,1,1,18
262,7,1,2,19.73,3,0,2,3,30
262,3,1,2,20.12,2,0,2,3,30
262,8,1,2,14.94,3,0,2,3,30
263,27,1,2,45.97,1,1,1,1,23
264,7,1,2,19.73,3,1,1,1,21
264,4,1,2,45.27,1,1,1,1,21
265,10,1,2,26.05,2,1,1,1,21
266,1,1,2,1.61,4,1,2,3,28
266,8,1,2,14.94,3,1,2,3,28
267,7,1,2,19.73,3,1,1,1,24
267,31,1,2,13.64,3,1,1,1,24
267,14,1,2,40.82,1,1,1,1,24
268,10,1,2,26.05,2,0,2,4,24
268,8,1,2,14.94,3,0,2,4,24
269,1,1,2,1.61,4,1,1,1,27
270,7,1,2,19.73,3,1,2,4,22
270,4,1,2,45.27,1,1,2,4,22
271,7,1,2,19.73,3,1,1,1,21
271,10,1,2,26.05,2,1,1,1,21
271,7,1,2,19.73,3,1,1,1,21
271,8,1,2,14.94,3,1,1,1,21
272,14,1,2,40.82,1,1,3,4,28
274,7,1,2,19.73,3,1,1,1,20
274,1,1,2,1.61,4,1,1,1,20
274,8,1,2,14.94,3,1,1,1,20
275,14,1,2,40.82,1,1,2,2,28
276,7,1,2,19.73,3,1,1,1,30
276,7,1,2,19.73,3,1,1,1,30
276,8,1,2,14.94,3,1,1,1,30
277,14,1,2,40.82,1,1,1,1,20
278,7,1,2,19.73,3,1,1,1,27
278,8,1,2,14.94,3,1,1,1,27
279,7,1,2,19.73,3,1,3,4,16
280,7,1,2,19.73,3,0,2,4,23
280,8,1,2,14.94,3,0,2,4,23
281,1,1,2,1.61,4,1,1,1,29
281,1,1,2,1.61,4,1,1,1,29
282,1,1,2,1.61,4,0,2,4,20
282,7,1,2,19.73,3,0,2,4,20
282,8,1,2,14.94,3,0,2,4,20
283,8,1,2,14.94,3,1,1,1,24
283,7,1,2,19.73,3,1,1,1,24
284,7,1,2,19.73,3,1,1,1,28
284,14,1,2,40.82,1,1,1,1,28
285,14,1,2,40.82,1,0,2,3,26
285,14,1,2,40.82,1,0,2,3,26
285,8,1,2,14.94,3,0,2,3,26
286,1,1,2,1.61,4,1,2,2,21
286,16,1,2,28.3,2,1,2,2,21
286,31,1,2,13.64,3,1,2,2,21
287,7,1,2,19.73,3,1,2,3,18
287,8,1,2,14.94,3,1,2,3,18
288,1,1,2,1.61,4,1,2,3,22
288,31,1,2,13.64,3,1,2,3,22
289,1,1,2,1.61,4,1,1,1,17
290,7,1,2,19.73,3,1,1,1,28
290,5,1,2,5.51,4,1,1,1,28
291,7,1,2,19.73,3,0,2,3,27
292,5,1,2,5.51,4,0,2,4,21
293,20,1,2,13.42,3,1,1,1,21
294,7,1,2,19.73,3,1,1,1,20
295,4,1,2,45.27,1,1,1,1,29
295,11,1,2,20.11,2,1,1,1,29
295,1,1,2,1.61,4,1,1,1,29
296,14,1,2,40.82,1,0,2,3,29
296,2,1,2,39.34,2,0,2,3,29
297,20,0,2,13.42,3,1,1,1,22
297,7,0,2,19.73,3,1,1,1,22
297,6,0,2,7.18,4,1,1,1,22
297,2,0,2,39.34,2,1,1,1,22
298,11,0,2,20.11,2,1,1,1,20
298,22,0,2,38.38,2,1,1,1,20
298,7,0,2,19.73,3,1,1,1,20
298,27,0,2,45.97,1,1,1,1,20
299,1,0,2,1.61,4,1,1,1,20
300,2,0,2,39.34,2,0,3,4,18
300,14,0,2,40.82,1,0,3,4,18
300,31,0,2,13.64,3,0,3,4,18
300,7,0,2,19.73,3,0,3,4,18
300,7,0,2,19.73,3,0,3,4,18
301,16,0,2,28.3,2,1,3,2,24
301,13,0,2,28.31,2,1,3,2,24
301,21,0,2,42.55,1,1,3,2,24
302,21,0,2,42.55,1,1,2,2,16
302,10,0,2,26.05,2,1,2,2,16
303,16,0,2,28.3,2,1,1,1,16
303,10,0,2,26.05,2,1,1,1,16
303,5,0,2,5.51,4,1,1,1,16
303,21,0,2,42.55,1,1,1,1,16
304,20,0,2,13.42,3,0,3,4,26
304,10,0,2,26.05,2,0,3,4,26
305,15,0,2,32.91,2,1,3,4,27
306,7,0,2,19.73,3,1,1,1,30
306,13,0,2,28.31,2,1,1,1,30
306,16,0,2,28.3,2,1,1,1,30
306,21,0,2,42.55,1,1,1,1,30
307,20,0,2,13.42,3,1,1,1,26
308,20,0,2,13.42,3,1,1,1,17
308,23,0,2,24.22,2,1,1,1,17
309,20,0,2,13.42,3,1,2,4,17
